Empresa,Circuito,Abonados,DPIR,FPI
CNFL,BARVA-CIPRESAL,3756,32.73,25.97
CNFL,CAJA-INDUSTRIAS,2230,26.88,14.23
CNFL,ESCAZÚ-PIEDADES,7039,23.86,24.46
CNFL,CORONADO-CASCAJAL,9777,22.96,26.82
CNFL,BRASIL-CIUDAD COLON,8644,21.12,18.52
CNFL,LINDORA-BRASIL,1012,20.86,29.87
CNFL,ELECTRIONA-POTRERILLOS,6590,18.63,11.76
CNFL,CAJA-INA,4508,16.45,15.82
CNFL,ESCAZU-SANTA ANA NORTE,8573,16.38,22.06
CNFL,HIGUITO-ASERRÍ,17327,15.63,11.52
CNFL,DESAMPARADOS-CALLE FALLAS,11346,13.36,11.62
CNFL,ESTE-SAN DIEGO,14986,13.16,9.98
CNFL,HIGUITO-PATARRÁ,9650,13.02,7.54
CNFL,ELECTRIONA-MONTANA,834,12.83,7.75
CNFL,PORROSATI-SANTA BARBARA,17360,12.74,9.76
CNFL,HIGUITO-LOS GUIDO,10355,12.33,19.72
CNFL,BRASIL-REFORMA,4980,11.47,17.98
CNFL,CURRIDABAT-CENTRAL,6212,10.99,12.6
CNFL,ESCAZU-GUACHIPELIN,4855,10.87,7.75
CNFL,BELEN-SAN JUAN,779,10.51,8.4
CNFL,ALAJUELITA-LA VERBENA,11976,9.81,23.1
CNFL,ESCAZU-JABONCILLOS,11155,9.36,12.38
CNFL,HEREDIA-BARREAL,10659,9.01,7.91
CNFL,COLIMA-GUADALUPE 2,4929,8.42,8.4
CNFL,PORROSATI-SAN LORENZO,9407,8.21,9.37
CNFL,CAJA-LOMAS,445,8.17,7.78
CNFL,SABANILLA-SAN RAFAEL,14980,7.98,15.01
CNFL,ESTE-TRES RIOS,10556,7.76,21.24
CNFL,DESAMPARADOS-SANTA MARTA,12650,7.63,14.9
CNFL,LINDORA-GUACIMA,11528,7.63,10.75
CNFL,SABANILLA-PURRAL,11110,7.27,13.32
CNFL,ESCAZU-LAURELES,5287,7.17,7.41
CNFL,SABANILLA-SAN MARINO,13469,6.76,11.5
CNFL,ESTE-PINARES,4722,6.72,7.71
CNFL,SAN MIGUEL-SAN LUIS,3726,6.61,7.33
CNFL,BRASIL-VENTANAS,1,6.56,8
CNFL,LINDORA-RADIAL,3034,6.35,10.19
ESPH,LOS ANGELES,3904,11.51,11.91
ESPH,INDUSTRIAL,1305,10.15,7.71
ESPH,NORTE,14855,9.32,14.05
ESPH,SAN PABLO,12032,8.93,28.17
COOPEGUANACASTE,GUAYABAL-SANTA BARBARA,5610,16.17,22.05
COOPEGUANACASTE,GUAYABAL-LAGUNILLA,2496,15.52,17.06
COOPEGUANACASTE,GUAYABAL-MARBELLA,5375,15.24,14.7
COOPEGUANACASTE,NUEVO COLON-PLAYA MATAPALO,135,13.9,12.2
COOPEGUANACASTE,SANTA RITA-HOJANCHA,8198,11.82,16.71
COOPEGUANACASTE,PINILLA-LANGOSTA,1436,8.45,11.17
COOPEGUANACASTE,GUAYABAL-NICOYA,12604,7.8,11.35
COOPEGUANACASTE,PINILLA-TAMARINDO,8859,7.51,8.53
COOPEGUANACASTE,GUAYABAL-SANTA CRUZ,6414,6.63,11.67
COOPEGUANACASTE,SANTA RITA-PAQUERA,7901,6.54,9.36
ICE,TORO-LAGUNA,74,54.66,19.17
ICE,SANTA RITA-ISLA VENADO,373,41.81,11.88
ICE,ANGOSTURA-TRES EQUIS,2916,40.65,14.85
ICE,PALMAR-PALMAR SUR,6181,39.04,28.81
ICE,COBANO - POCHOTE,3796,38.4,22.09
ICE,RIO CLARO-CHACARITA,1659,34.12,29.52
ICE,SANTA RITA-NOSARA,6716,33.44,14.77
ICE,LIBERIA-URBANO,5860,31.11,12.69
ICE,CAHUITA-BRIBRI,10473,30.16,18.52
ICE,SANTA RITA-RESPALDO NOSARA,6279,29.1,17.48
ICE,PALMAR-PUERTO JIMENEZ,2762,28.96,31.47
ICE,RIO CLARO-GOLFITO,8056,28.18,18.88
ICE,PAPAGAYO-ENLACE LIBERIA,292,27.54,17.7
ICE,PARRITA-QUEPOS,9000,26.6,11.5
ICE,SAN ISIDRO-QUEPOS,12534,26.49,18.08
ICE,COBANO - URBANO,3937,26.44,17.65
ICE,LEESVILLE-PIÑERAS,8121,26.21,7.63
ICE,CAHUITA-COSTANERA,7065,25.81,18.54
ICE,GARITA-JUNQUILLO,5310,25.42,11.82
ICE,PARRITA-JACO,2883,24.41,28.25
ICE,MOIN-PUERTO VIEJO,2685,24.13,16.21
ICE,PARRITA-SAVEGRE,9574,23.3,12.3
ICE,MIRAVALLES-DEL ORO,7199,22,9.75
ICE,PALMAR-CORTES,5556,21.82,13.55
ICE,GARITA-ATENAS,483,21.52,19.44
ICE,ARENAL-SANGREGADO,4251,20.48,13.62
ICE,MOIN-SIXAOLA,4465,20.08,11.79
ICE,CAÑAS-GUAYABO,2756,20.04,16.99
ICE,CAÑAS-LA IRMA,3315,19.91,12.5
ICE,SANTA RITA-ISLA CHIRA,603,19.9,9.85
ICE,COBANO - LA ESPERANZA,1210,18.18,29.36
ICE,MIRAVALLES-GUATUSO,12575,17.46,12.04
ICE,CAÑAS-BEBEDERO,4801,17.12,16.09
ICE,JUANILAMA-JACO,6226,16.71,12.6
ICE,SANTA RITA-COBANO,2955,16.68,12.88
ICE,RIO MACHO-CONCAVAS,797,15.53,25.61
ICE,JUANILAMA-HERRADURA,4424,15.26,13.47
ICE,PARRITA-MANUEL ANTONIO,2807,15.22,9.09
ICE,SAN ISIDRO-BUENOS AIRES NUEVO,13457,14.93,9.96
ICE,ANGOSTURA-PERALTA,2645,14.58,9.18
ICE,ARENAL-SANTA ELENA,6315,14.45,8.79
ICE,TRAPICHE - ZENT,15918,14.37,9.94
ICE,MIRAVALLES-LOS CHILES,18025,13.35,10.16
ICE,NARANJO-LLANO BONITO,6768,12.68,8.68
ICE,GARABITO-LA IRMA,5516,11.9,7.6
ICE,MOIN-MUELLE ALEMAN,12545,11.56,8.4
ICE,RIO CLARO-COTOS,3909,11.45,12.27
ICE,LEESVILLE-RIO FRIO,21394,11.16,9.72
ICE,RIO CLARO-TECNOLOGICO,11267,10.92,9.76
ICE,BARRANCA-PUNTARENAS 1,7153,9.25,8.75
ICE,MIRAVALLES-GUAYABO,5279,9.24,8.96
ICE,LIBERIA-BAGACES,9973,9.1,8.6
ICE,RIO CLARO-CIUDAD NEILY,10672,8.82,8.12
ICE,TRAPICHE - POCORA,6281,8.45,11.66
ICE,RIO CLARO-SAN VITO,15594,8.25,14.83
ICE,SAN ISIDRO-BUENOS AIRES,13481,8,9.32
ICE,GARITA-CIRUELAS,2168,7.76,9.16
ICE,TURRIALBA-GRANO DE ORO,5940,7.8,7.4
ICE,TRAPICHE - SIQUIRRES 1,10878,7.7,1.02
ICE,TURRIALBA-AZUL,4772,7.15,28.31
ICE,MOIN-LIMON,9220,7.02,10.35
ICE,GARITA-PURISCAL,4984,6.92,8.26
ICE,NARANJO-ROSARIO,2964,6.86,10.05
ICE,ARENAL-TILARAN,4782,6.66,7.88
JASEC,GUAYABAL,4777,9.64,30.43
COOPELESCA,LA TABLA,4571,23.6,1.22
COOPELESCA,MONTERREY,5149,20.3,1.61
COOPELESCA,SAN ISIDRO,11162,20.1,1.11
COOPELESCA,RANCHON,4036,17.5,1.49
COOPELESCA,VIRGEN,3952,16.61,13.15
COOPELESCA,MARINA,6663,16.1,5.29
COOPELESCA,CIUDAD QUESADA,16997,14.3,12
COOPELESCA,FORTUNA,11889,13.8,7.5
COOPELESCA,SANTA ROSA,11815,12.32,8.1
COOPELESCA,PITAL,5252,7.86,8.6
COOPESANTOS,LA PAZ,2386,20.74,13.05
COOPESANTOS,MORA,6121,19.95,19.7
COOPESANTOS,SAN GERARDO-PROVIDENCIA,342,19.93,10.59
COOPESANTOS,ACOSANTA (2),15517,17.34,15.95
COOPESANTOS,RIO CONEJO (9),8536,11.61,11.46
COOPESANTOS,SAN ANTONIO,12512,9.36,9.99
COOPESANTOS,DOTA,6370,7.38,7.52
