Empresa,Circuito,Abonados,DPIR,FPI
COOPEALFARORUIZ,LAGUNA NORTE,3365,493,600
COOPEALFARORUIZ,ZARCERO CENTRO,1796,465,429
COOPEALFARORUIZ,TORO,197,450,400
COOPEALFARORUIZ,SECTOR SUR,2762,344,400
CNFL,SABANILLA-SAN PEDRO,5933,564,324
CNFL,ANONOS-CIMA,1999,562,368
CNFL,SUR-BARRIO CUBA,4704,558,468
CNFL,CORONADO SAN JERONIMO,10258,556,447
CNFL,DESAMPARADOS-CENTRAL,2573,556,239
CNFL,URUCA-BARRIO MEXICO,2900,549,600
CNFL,COLIMA-TIBAS,8770,527,616
CNFL,COLIMA-PRIMER AMOR,3327,523,601
CNFL,DESAMPARADOS-PORVENIR,1869,517,486
CNFL,DESAMPARADOS-TIRIBI,2494,516,572
CNFL,LINDORA-OJO DE AGUA,5932,502,642
CNFL,SABANILLA-GUADALUPE,6859,490,566
CNFL,URUCA-VIRILLA,704,456,256
CNFL,BELEN-FABRICAS,56,424,312
CNFL,CAJA-ELECTRIONA 2,1,420,400
CNFL,SABANILLA-MIRAFLORES,3553,420,320
CNFL,SABANILLA-LOURDES,7335,418,459
CNFL,HEREDIA-LOS LAGOS,2660,404,132
CNFL,SAN MIGUEL-SANTO TOMAS,5367,400,634
CNFL,CORONADO-SAN BLAS,9110,397,426
CNFL,COLIMA-BARRIO DENT,2979,383,468
CNFL,SABANILLA-BETANIA,2930,375,446
CNFL,ALAJUELITA-LOS PINOS,9006,369,321
CNFL,GUADALUPE-SAN VICENTE,254,359,600
CNFL,ANONOS-SABANA,3042,334,273
CNFL,ANONOS-MATA REDONDA,1844,326,451
CNFL,COLIMA-PIUSES,5302,312,493
CNFL,ANONOS-INDUSTRIAL,3173,312,459
CNFL,HIGUITO-HIGUERONES,11095,302,174
CNFL,GUADALUPE-SAN JOSE,2460,276,396
CNFL,URUCA-BARRIO DON BOSCO,2906,275,405
CNFL,ELECTRIONA-SCOTT,1263,269,467
CNFL,GUADALUPE-CENTRAL,3500,262,285
CNFL,SUR-SAN CAYETANO,4990,244,455
CNFL,SAN MIGUEL-SANTO DOMINGO,8345,224,259
CNFL,SUR-DESAMPARADOS,3160,213,347
CNFL,BELEN-ZONA FRANCA AMERICA,232,211,212
CNFL,SUBTERRANEO URUCA-3B,234,203,110
CNFL,BELEN-SUBTERRANEO 1,4,198,200
CNFL,GUADALUPE-SANTA TERESITA,2387,196,304
CNFL,SUBTERRANEO URUCA-1B,607,192,100
CNFL,CAJA-CALLE RUSIA,2945,191,258
CNFL,BRASIL-FORUM,1174,181,626
CNFL,ALAJUELITA-LINDA VISTA,4488,180,70
CNFL,ESCAZU-MULTIPLAZA,1659,172,117
CNFL,SUR-ZAPOTE,2086,120,137
CNFL,PRIMER AMOR-VALENCIA,27,86,227
CNFL,CORONADO-SAN ISIDRO,10069,86,175
CNFL,COLIMA-URUCA,4,52,100
CNFL,ANONOS-ESCAZU,0,0,0
CNFL,ANONOS-LINDA VISTA,0,0,0
CNFL,BELEN-ASUNCION,0,0,0
CNFL,CAJA-ELECTRIONA 1,0,0,0
CNFL,COLIMA-CALLE BLANCOS,0,0,0
CNFL,SUBTERRANEO GUADALUPE 2B,522,0,0
CNFL,SUBTERRANEO GUADALUPE-1A,549,0,0
CNFL,SUBTERRANEO GUADALUPE-1B,631,0,0
CNFL,SUBTERRANEO GUADALUPE-2A,751,0,0
CNFL,SUBTERRANEO GUADALUPE-3A,410,0,0
CNFL,SUBTERRANEO GUADALUPE-3B,536,0,0
CNFL,SUBTERRANEO GUADALUPE-4A,571,0,0
CNFL,SUBTERRANEO GUADALUPE-4B,1116,0,0
CNFL,SUBTERRANEO LOS ANGELES-1A,529,0,0
CNFL,SUBTERRANEO LOS ANGELES-1B,281,0,0
CNFL,SUBTERRANEO LOS ANGELES-2A,775,0,0
CNFL,SUBTERRANEO LOS ANGELES-2B,868,0,0
CNFL,SUBTERRANEO LOS ANGELES-3A,418,0,0
CNFL,SUBTERRANEO LOS ANGELES-3B,263,0,0
CNFL,SUBTERRANEO LOS ANGELES-4A,872,0,0
CNFL,SUBTERRANEO LOS ANGELES-4B,792,0,0
CNFL,SUBTERRANEO URUCA-1A,1173,0,0
CNFL,SUBTERRANEO URUCA-2A,248,0,0
CNFL,SUBTERRANEO URUCA-2B,1,0,0
CNFL,SUBTERRANEO URUCA-3A,265,0,0
CNFL,SUBTERRANEO URUCA-4A,1354,0,0
CNFL,SUBTERRANEO URUCA-4B,728,0,0
CNFL,UNIVERSIDAD-UCR,0,0,0
CNFL,ESCAZU-EOLICO VALLE CENTRAL,0,0,0
CNFL,PORROSATÍ-CALLE RUSIA,0,0,0
ESPH,ZFM,473,582,244
ESPH,SAN RAFAEL,3428,513,582
ESPH,QUEBRADAS,12212,505,448
ESPH,LAS FLORES,16036,436,699
ESPH,ESTE,865,435,268
ESPH,GLOBAL,483,415,500
ESPH,OESTE,21114,346,614
ESPH,CARRILLOS,42,128,100
ESPH,SAN VICENTE,650,117,332
ESPH,SUR,2545,112,151
ESPH,HOSPIRA,53,7,4
COOPEGUANACASTE,PINILLA-HACIENDA,628,591,385
COOPEGUANACASTE,PINILLA-HERNANDEZ,1312,540,430
COOPEGUANACASTE,NUEVO COLON-POTRERO,2784,520,642
COOPEGUANACASTE,NUEVO COLON-PLAYA HERMOSA,8663,411,359
COOPEGUANACASTE,NUEVO COLON-BRASILITO,1701,210,253
ICE,NARANJO-ESTADIO,5335,559,314
ICE,JUANILAMA-OROTINA,10753,547,498
ICE,PALMAR-PALMAR NORTE,1898,539,418
ICE,NARANJO-SAN RAMON,29934,503,324
ICE,COYOL-RECOPE,2,496,200
ICE,TURRIALBA-RECOPE,5654,494,423
ICE,PAPAGAYO-PAPAGAYO 2,207,484,186
ICE,BARRANCA-CALDERA,2524,482,392
ICE,POAS-MESON,27254,477,387
ICE,BARRANCA-ESPARZA,11697,475,581
ICE,CONCAVAS-TRES RIOS,6,470,134
ICE,COCO-DULCE NOMBRE,10427,445,256
ICE,CACHI-JUAN VIÑAS,2730,441,493
ICE,TRAPICHE - LA PISTA,616,425,255
ICE,SAN ISIDRO-URBANO,12346,422,477
ICE,LIBERIA-CONDOVAC,239,405,426
ICE,COCO-CATEDRAL,6553,404,365
ICE,CAÑAS-URBANO,7386,385,459
ICE,LEESVILLE-GUAPILES,16093,382,233
ICE,COYOL-CIRUELAS,71,375,88
ICE,GARITA-SIQUIARES,452,366,483
ICE,SAN ISIDRO-INDUSTRIAS,5533,355,293
ICE,RIO MACHO-DOS AMIGOS,217,345,157
ICE,PAPAGAYO-PAPAGAYO 1,27,342,111
ICE,COCO-ALAJUELA,5540,324,215
ICE,CAÑAS-LA VIRGEN,61,323,404
ICE,MOIN – APM_TERMINALS,153,323,280
ICE,CACHI-POSTE 70,3321,322,240
